_IDSKU,link
156300,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/156300_5.jpg
124897,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/124897_2.jpg
327140,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/327140_2.jpg
327140,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/327140_3.jpg
124897,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/124897_3.jpg
156300,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/156300_4.jpg
106394,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/106394_3.jpg
129404,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/129404_5.jpg
26953,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/26953_4.jpg
65317,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/65317_4.jpg
106394,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/106394_1.jpg
124897,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/124897_1.jpg
327140,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/327140_1.jpg
48346,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/48346_1.jpg
72465,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/72465_5.jpg
69891,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/69891_2.jpg
69891,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/69891_3.jpg
72465,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/72465_4.jpg
48346,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/48346_2.jpg
69891,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/69891_1.jpg
48346,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/48346_3.jpg
72465,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/72465_3.jpg
69891,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/69891_4.jpg
69891,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/69891_5.jpg
72465,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/72465_2.jpg
48346,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/48346_4.jpg
72465,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/72465_1.jpg
48346,https://raw.githubusercontent.com/thomas-ramirez/imagens-mercadocar/main/48346_5.jpg
