_IDSKU,IsMain,Label,Name,url
310104930,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104930_4.jpg
310104930,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/310104930_5.jpg
440114340,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114340_2.jpg
440114340,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114340_3.jpg
440114340,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114340_4.jpg
440114340,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/440114340_5.jpg
580100919,True,primeira,primeira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100919_2.jpg
580100919,False,segunda,segunda,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100919_3.jpg
580100919,False,terceira,terceira,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100919_4.jpg
580100919,False,quarta,quarta,https://raw.githubusercontent.com/thomas-ramirez/imagens-colcci/main/580100919_5.jpg
